CustomerID,Days_Since_Last_Transaction,Total_Orders_Count,Total_Prod_Purchased,Total_Spent,Avg_Order_Value,Uniq_Prod_Purchased_Count,Avg_Days_Btw_Order,Fav_DoW,Fav_Hour,is_UK,Cancellation_Count,Total_Transaction_Count,Cancellation_Rate,Avg_Monthly_Spending,Std_Monthly_Spending,Monthly_Spending_Trend
12409,78,7,5543,11056.93,1579.561,91,30.17,4,12,0,5,114,0.044,3685.643,3266.883,-676.1399999999999
12410,301,3,205,521.08,173.693,25,3.5,4,10,0,2,27,0.074,521.08,0.0,0.0
12412,74,3,824,1142.88,380.96,42,47.5,0,13,0,0,58,0.0,380.96,88.398,-86.18
12413,66,4,281,676.15,169.038,28,178.67,3,16,0,1,37,0.027,225.383,170.724,-119.54999999999998
12414,217,3,297,442.41,147.47,15,46.5,2,14,0,0,15,0.0,147.47,48.297,6.045000000000002
12415,24,24,76946,123638.18,5151.591,443,35.39,1,10,0,61,774,0.079,11239.835,8039.049,-8.166181818181865
12417,3,12,1514,3155.8,262.983,157,90.55,3,14,0,6,189,0.032,350.644,217.884,0.31150000000000466
12418,112,1,407,668.58,668.58,34,0.0,4,11,0,0,34,0.0,668.58,0.0,0.0
12420,63,1,345,600.39,600.39,29,0.0,4,8,0,0,29,0.0,600.39,0.0,0.0
12421,15,4,478,639.04,159.76,31,101.33,6,13,0,0,41,0.0,159.76,24.612,5.550000000000009
12422,95,3,367,683.5600000000001,227.853,38,114.5,4,9,0,0,38,0.0,227.853,75.396,-45.400000000000006
12423,0,9,1312,1624.11,180.457,96,56.38,0,10,0,1,118,0.008,180.457,103.431,-17.364500000000003
12424,162,2,740,1760.96,880.48,30,0.0,3,12,0,0,30,0.0,1760.96,0.0,0.0
12425,78,1,496,777.2,777.2,36,0.0,3,17,0,0,36,0.0,777.2,0.0,0.0
12426,194,1,254,510.73,510.73,29,0.0,6,12,0,0,29,0.0,510.73,0.0,0.0
12427,11,5,229,582.37,116.474,25,255.0,0,15,0,4,32,0.125,194.123,51.688,-24.655
12428,25,11,3477,6366.0,578.727,256,65.1,1,9,0,5,292,0.017,1273.2,2004.104,-880.158
12429,9,4,1538,3388.4,847.1,81,118.67,0,12,0,0,94,0.0,847.1,325.375,-11.452000000000009
12430,43,1,116,216.4,216.4,10,0.0,3,15,0,0,10,0.0,216.4,0.0,0.0
12431,35,18,2839,6243.89,346.883,162,32.41,3,14,0,4,236,0.017,693.766,351.562,12.737166666666676
12432,42,4,1800,4359.32,1089.83,106,43.33,0,13,0,0,107,0.0,2179.66,1607.961,-2274.0
12433,0,7,11071,13375.87,1910.839,219,62.17,2,13,0,0,420,0.0,2675.174,814.663,-206.168
12434,84,4,373,765.19,191.298,49,187.67,4,12,0,4,54,0.074,191.298,262.545,134.347
12435,79,2,2055,7829.89,3914.945,31,188.0,3,7,0,0,36,0.0,3914.945,90.573,-128.0899999999997
12436,99,1,209,429.01000000000005,429.01,15,0.0,3,12,0,0,15,0.0,429.01,0.0,0.0
12437,1,19,2889,4392.66,231.193,117,35.61,2,9,0,1,185,0.005,439.266,377.385,35.112848484848485
12438,14,2,1169,2466.85,1233.425,83,126.0,4,13,0,0,96,0.0,1233.425,655.283,926.71
12441,366,1,120,155.55,155.55,10,0.0,2,10,0,0,10,0.0,155.55,0.0,0.0
12442,3,1,181,144.06,144.06,11,0.0,1,14,0,0,11,0.0,144.06,0.0,0.0
12444,21,5,1130,4085.46,817.092,137,37.5,1,14,0,0,172,0.0,817.092,595.334,-226.51800000000003
12445,22,1,60,77.4,77.4,3,0.0,3,18,0,0,3,0.0,77.4,0.0,0.0
12446,57,1,351,1002.3100000000001,1002.31,57,0.0,3,12,0,0,57,0.0,1002.31,0.0,0.0
12447,243,1,187,431.49,431.49,25,0.0,6,13,0,0,25,0.0,431.49,0.0,0.0
12448,44,1,240,365.45,365.45,21,0.0,2,13,0,0,21,0.0,365.45,0.0,0.0
12449,22,4,1523,3596.29,899.072,117,55.0,3,9,0,0,187,0.0,899.072,233.068,157.809
12450,156,2,128,197.88,98.94,7,17.0,6,14,0,0,8,0.0,98.94,4.158,-5.8799999999999955
12451,10,6,6454,8893.52,1482.253,264,90.2,2,9,0,1,354,0.003,1778.704,1243.646,-339.14899999999994
12452,16,1,181,348.57,348.57,20,0.0,2,8,0,0,20,0.0,348.57,0.0,0.0
12453,134,1,473,707.09,707.09,43,0.0,3,14,0,0,43,0.0,707.09,0.0,0.0
12454,53,2,0,5.684341886080802e-14,0.0,15,3.0,0,15,0,15,30,0.5,0.0,0.0,0.0
12455,73,5,2084,2339.86,467.972,84,55.75,2,9,0,0,85,0.0,467.972,685.423,-302.864
12456,44,4,1601,2553.89,638.472,104,91.33,2,15,0,4,126,0.032,638.473,462.714,-114.59699999999998
12457,58,11,686,1597.78,145.253,52,51.5,2,15,0,5,64,0.078,399.445,486.684,-114.10200000000002
12458,71,2,502,787.4,393.7,34,213.0,0,10,0,0,36,0.0,393.7,44.944,63.56
12461,154,1,282,626.88,626.88,34,0.0,4,10,0,0,34,0.0,626.88,0.0,0.0
12462,2,4,505,872.01,218.002,50,284.33,2,14,0,10,70,0.143,290.67,312.411,-309.04499999999996
12463,46,6,751,1165.63,194.272,65,97.4,1,13,0,4,83,0.048,291.408,25.191,-1.812999999999991
12464,10,8,95,957.05,119.631,5,42.71,3,13,0,0,22,0.0,191.41,124.156,9.939999999999996
12465,7,3,471,673.89,224.63,45,81.0,3,13,0,4,49,0.082,224.63,213.473,-209.62
12468,143,3,360,652.04,217.347,35,86.5,6,11,0,2,38,0.053,217.347,240.901,-95.045
12471,2,45,7846,16323.52,362.745,150,24.7,3,9,0,70,508,0.138,1360.293,895.286,67.60237762237762
12472,30,13,3992,5725.48,440.422,225,85.08,2,14,0,52,384,0.135,715.685,528.516,-39.997142857142855
12473,53,4,2323,2545.27,636.318,138,90.0,0,11,0,7,167,0.042,848.423,629.736,511.37499999999994
12474,17,30,4715,6434.7699999999995,214.492,252,34.79,1,10,0,33,439,0.075,584.979,483.993,88.47863636363635
12475,53,1,532,669.38,669.38,35,0.0,0,10,0,0,35,0.0,669.38,0.0,0.0
12476,1,20,2286,5628.58,281.429,176,55.37,3,10,0,31,255,0.122,511.689,588.22,50.35363636363637
12477,22,9,3620,13117.01,1457.446,192,98.5,4,9,0,8,308,0.026,2186.168,1381.214,-158.11971428571428
12478,3,1,233,545.99,545.99,35,0.0,1,9,0,0,35,0.0,545.99,0.0,0.0
12479,3,3,348,423.3,141.1,30,4.0,0,13,0,4,34,0.118,211.65,369.888,-523.0999999999999
12480,28,4,1685,2885.63,721.408,128,102.67,4,14,0,0,150,0.0,721.408,206.035,60.39499999999998
12481,22,11,3248,4998.36,454.396,149,56.8,0,10,0,1,209,0.005,624.795,383.438,10.010952380952379
12483,17,11,1084,1873.13,170.285,45,71.4,1,11,0,4,72,0.056,267.59,100.641,1.4885714285714338
12484,35,6,2160,3892.87,648.812,255,150.6,4,13,0,4,343,0.012,648.812,546.001,-31.724285714285735
12488,9,3,526,1244.66,414.887,45,33.0,2,10,0,0,54,0.0,414.887,178.043,-38.09
12489,336,1,103,298.93,298.93,14,0.0,4,13,0,0,14,0.0,298.93,0.0,0.0
12490,5,10,3033,4859.93,485.993,130,36.0,2,13,0,0,235,0.0,607.491,345.208,44.769880952380944
12491,38,1,258,424.40000000000003,424.4,24,0.0,1,12,0,0,25,0.0,424.4,0.0,0.0
12492,63,2,190,227.21,113.605,18,42.0,4,15,0,0,18,0.0,113.605,7.375,10.429999999999993
12493,165,3,203,362.79,120.93,18,29.5,3,14,0,1,21,0.048,181.395,2.609,3.6899999999999977
12494,9,13,682,995.35,76.565,62,86.83,3,13,0,6,77,0.078,142.193,127.42,17.60178571428571
12497,81,1,1231,953.1,953.1,13,0.0,0,12,0,0,13,0.0,953.1,0.0,0.0
12498,21,3,156,349.70000000000005,116.567,20,18.0,3,9,0,0,21,0.0,174.85,51.477,-72.80000000000004
12500,23,12,2660,4023.27,335.272,32,34.55,4,10,0,3,54,0.056,574.753,554.801,126.43535714285716
12501,315,2,1714,1945.68,972.84,148,21.0,4,12,0,11,159,0.069,1945.68,0.0,0.0
12502,95,5,794,2995.87,599.174,101,53.5,3,11,0,0,142,0.0,599.174,183.364,84.02700000000002
12504,18,4,48,59.99999999999999,15.0,5,6.0,0,16,0,6,14,0.429,60.0,0.0,0.0
12506,232,1,23,73.5,73.5,23,0.0,3,8,0,0,23,0.0,73.5,0.0,0.0
12507,134,4,874,1006.06,251.515,18,61.67,0,9,0,1,20,0.05,503.03,199.22,281.73999999999995
12508,26,2,271,397.88,198.94,57,3.0,3,16,0,0,68,0.0,397.88,0.0,0.0
12509,284,1,54,158.5,158.5,6,0.0,0,14,0,0,6,0.0,158.5,0.0,0.0
12510,142,2,347,814.5699999999999,407.285,28,183.0,1,14,0,0,31,0.0,407.285,268.368,-379.53
12512,66,2,96,132.18,66.09,31,0.0,1,14,0,0,31,0.0,132.18,0.0,0.0
12513,84,2,453,532.79,266.395,34,28.0,4,10,0,1,35,0.029,266.395,412.802,-583.79
12514,267,1,440,1017.68,1017.68,51,0.0,3,16,0,0,51,0.0,1017.68,0.0,0.0
12515,353,1,128,278.7,278.7,15,0.0,1,15,0,0,15,0.0,278.7,0.0,0.0
12516,77,2,868,1186.06,593.03,19,103.0,4,9,0,0,24,0.0,593.03,90.269,127.65999999999997
12517,28,5,1328,2263.65,452.73,231,40.5,3,15,0,2,278,0.007,565.912,177.501,-119.665
12518,0,5,1306,1840.89,368.178,83,27.5,4,10,0,0,119,0.0,368.178,80.326,-0.9319999999999937
12519,63,1,172,276.84,276.84,16,0.0,4,9,0,0,16,0.0,276.84,0.0,0.0
12520,79,6,1414,2294.5099999999998,382.418,120,76.4,4,11,0,3,150,0.02,573.628,332.346,-171.67100000000002
12521,142,1,306,545.68,545.68,37,0.0,2,10,0,0,37,0.0,545.68,0.0,0.0
12522,39,2,192,156.72,78.36,10,12.0,0,14,0,0,10,0.0,156.72,0.0,0.0
12523,1,13,856,1655.57,127.352,83,30.67,2,9,0,4,106,0.038,165.557,109.133,6.450848484848487
12524,9,8,3669,3945.72,493.215,112,46.29,3,13,0,0,136,0.0,563.674,404.113,28.038928571428585
12526,0,3,624,1172.66,390.887,63,47.0,0,9,0,0,68,0.0,390.887,131.05,-121.60999999999999
12527,81,3,233,330.71000000000004,110.237,17,122.0,1,12,0,0,17,0.0,110.237,44.46,-25.365000000000006
12528,9,8,734,1634.28,204.285,49,100.0,0,9,0,3,89,0.034,272.38,93.742,-18.70342857142856
12530,59,5,891,1461.63,292.326,50,81.5,1,10,0,2,64,0.031,365.408,33.531,17.408999999999985
12531,14,1,45,125.22,125.22,17,0.0,4,11,0,0,17,0.0,125.22,0.0,0.0
12532,30,1,151,313.83000000000004,313.83,15,0.0,2,13,0,0,15,0.0,313.83,0.0,0.0
12534,130,1,645,981.18,981.18,62,0.0,0,10,0,0,62,0.0,981.18,0.0,0.0
12535,91,2,219,716.35,358.175,28,95.0,0,12,0,0,34,0.0,358.175,18.774,-26.55000000000001
12536,7,2,2672,4151.26,2075.63,259,52.0,1,14,0,9,268,0.034,2075.63,3117.04,-4408.16
12538,29,1,191,363.95,363.95,21,0.0,3,17,0,0,21,0.0,363.95,0.0,0.0
12539,22,4,2067,5568.35,1392.088,157,103.67,3,9,0,0,273,0.0,1856.117,1364.61,-1190.52
12540,19,19,6612,11489.039999999999,604.686,277,49.39,1,10,0,3,464,0.006,1044.458,609.541,57.79545454545455
12541,29,3,675,841.18,280.393,45,125.5,3,10,0,0,49,0.0,280.393,82.723,38.32000000000002
12544,29,2,130,299.7,149.85,18,7.0,3,16,0,1,19,0.053,299.7,0.0,0.0
12545,75,2,517,832.39,416.195,41,184.0,4,12,0,0,48,0.0,416.195,180.956,-255.90999999999997
12546,46,3,612,1001.5,333.833,58,25.5,4,9,0,1,68,0.015,500.75,248.124,-350.90000000000003
12547,197,2,132,151.79999999999998,75.9,6,83.0,4,12,0,0,6,0.0,75.9,78.489,-111.0
12548,166,1,48,67.19999999999999,67.2,4,0.0,6,15,0,0,4,0.0,67.2,0.0,0.0
12550,79,1,564,824.83,824.83,56,0.0,2,14,0,0,56,0.0,824.83,0.0,0.0
12551,357,1,100,168.0,168.0,10,0.0,4,11,0,0,10,0.0,168.0,0.0,0.0
12552,39,1,85,317.82,317.82,19,0.0,0,12,0,0,19,0.0,317.82,0.0,0.0
12553,8,14,1901,3238.25,231.304,94,72.31,4,10,0,5,187,0.027,359.806,185.097,-1.3673333333333308
12556,50,2,355,599.56,299.78,100,101.0,0,13,0,0,119,0.0,299.78,12.685,-17.939999999999998
12557,16,5,4384,11990.960000000001,2398.192,15,88.75,0,13,0,0,33,0.0,2398.192,1589.42,546.9219999999999
12558,1,2,0,1.0658141036401503e-14,0.0,11,6.0,3,10,0,11,22,0.5,0.0,0.0,0.0
12559,310,3,279,500.21000000000004,166.737,20,4.5,0,10,0,1,21,0.048,250.105,282.85,-400.01
12560,5,3,1066,1885.39,628.463,91,116.5,1,15,0,6,109,0.055,628.463,662.469,-333.30499999999995
12561,302,1,177,238.85,238.85,16,0.0,3,11,0,0,16,0.0,238.85,0.0,0.0
12562,8,7,1757,3385.7400000000002,483.677,98,31.67,3,8,0,0,161,0.0,483.677,99.972,23.467499999999994
12564,261,1,130,402.9,402.9,20,0.0,2,14,0,0,20,0.0,402.9,0.0,0.0
12565,281,2,75,131.17,65.585,9,7.0,3,10,0,1,10,0.1,65.585,113.611,-160.67000000000002
12566,72,2,261,292.7,146.35,18,14.0,2,14,0,1,19,0.053,292.7,0.0,0.0
12567,22,11,4045,8322.94,756.631,322,50.9,6,11,0,17,455,0.037,1188.991,472.904,-45.257500000000014
12569,2,33,1741,3128.9900000000002,94.818,91,15.06,3,14,0,1,158,0.006,347.666,163.069,18.505666666666666
12571,39,2,523,519.61,259.805,31,82.0,0,10,0,0,34,0.0,259.805,16.2,22.909999999999997
12572,8,3,444,896.72,298.907,52,41.0,2,8,0,2,60,0.033,448.36,20.761,-29.360000000000014
12573,227,1,84,160.54000000000002,160.54,26,0.0,1,15,0,0,28,0.0,160.54,0.0,0.0
12574,315,1,59,182.45000000000002,182.45,10,0.0,4,9,0,0,10,0.0,182.45,0.0,0.0
12576,35,6,964,1306.98,217.83,72,74.2,4,10,0,1,89,0.011,261.396,81.329,34.576
12577,35,4,462,560.25,140.062,136,108.0,4,13,0,1,146,0.007,280.125,119.126,168.47000000000003
12578,21,4,1157,2361.36,590.34,111,216.0,3,15,0,6,118,0.051,1180.68,269.874,-381.65999999999997
12579,73,2,276,374.72,187.36,28,5.0,3,17,0,1,29,0.034,374.72,0.0,0.0
12580,246,1,236,379.7,379.7,23,0.0,3,10,0,0,23,0.0,379.7,0.0,0.0
12581,39,1,160,179.71,179.71,14,0.0,0,8,0,0,14,0.0,179.71,0.0,0.0
12582,238,2,296,351.36,175.68,20,50.0,3,11,0,0,20,0.0,175.68,14.878,21.039999999999992
12583,2,17,4978,6629.34,389.961,114,28.81,4,12,0,3,235,0.013,552.445,269.615,4.223006993006998
12584,3,18,351,1809.95,100.553,43,47.35,1,13,0,30,125,0.24,226.244,185.933,6.566309523809521
12585,234,4,1246,1766.81,441.702,76,106.67,3,12,0,10,95,0.105,588.937,609.304,-243.42499999999995
12586,17,2,77,179.94000000000003,89.97,12,351.0,1,16,0,1,12,0.083,89.97,151.278,213.94000000000003
12587,7,1,50,104.0,104.0,3,0.0,4,12,0,0,3,0.0,104.0,0.0,0.0
12588,39,1,52,174.89999999999998,174.9,9,0.0,0,15,0,0,9,0.0,174.9,0.0,0.0
12589,28,2,302,574.68,287.34,28,116.0,4,10,0,0,33,0.0,287.34,245.847,347.68
12590,190,2,4278,9338.38,4669.19,67,21.0,3,14,0,2,69,0.029,4669.19,6607.305,-9344.14
12591,317,1,225,368.85,368.85,25,0.0,2,14,0,0,25,0.0,368.85,0.0,0.0
12592,92,2,288,401.6,200.8,10,121.0,1,13,0,0,16,0.0,200.8,18.385,-26.0
12593,108,3,204,382.09999999999997,127.367,13,55.0,1,9,0,0,20,0.0,191.05,12.657,-17.900000000000006
12594,37,9,1772,3208.2200000000003,356.469,49,35.62,0,12,0,0,114,0.0,356.469,257.425,22.661666666666665
12596,51,2,468,450.27,225.135,24,191.0,0,13,0,0,25,0.0,225.135,15.818,22.370000000000005
12597,19,5,2165,3067.13,613.426,183,65.5,6,13,0,8,210,0.038,766.782,797.537,6.0949999999999935
12598,9,8,1928,2786.68,348.335,83,77.57,4,12,0,1,128,0.008,464.447,365.43,86.30400000000002
12599,29,7,948,888.58,126.94,31,45.83,1,13,0,0,55,0.0,148.097,65.353,-13.530857142857142
12600,28,10,758,2311.04,231.104,31,38.11,4,10,0,0,54,0.0,256.782,79.072,5.44883333333333
12601,189,6,239,479.56,79.927,20,29.2,3,10,0,1,24,0.042,95.912,29.142,-13.232
12602,58,1,162,153.12,153.12,12,0.0,2,11,0,0,12,0.0,153.12,0.0,0.0
12603,21,1,56,613.1999999999999,613.2,1,0.0,4,10,0,0,1,0.0,613.2,0.0,0.0
12604,79,2,200,236.18,118.09,14,182.0,2,12,0,0,15,0.0,118.09,59.977,-84.82000000000001
12605,365,1,-4,-7.5,-7.5,3,0.0,3,15,0,3,3,1.0,-7.5,0.0,0.0
12607,58,2,0,3.552713678800501e-15,0.0,101,2.0,0,16,0,101,202,0.5,0.0,0.0,0.0
12609,78,3,639,964.85,321.617,56,120.0,0,15,0,0,57,0.0,321.617,89.684,19.095
12610,22,6,1018,1705.99,284.332,84,59.4,4,13,0,5,107,0.047,568.663,471.656,-457.25
12611,52,1,846,1193.32,1193.32,65,0.0,1,13,0,0,65,0.0,1193.32,0.0,0.0
12612,57,2,249,607.59,303.795,18,17.0,0,15,0,2,20,0.1,303.795,515.12,-728.49
12613,31,5,1582,2966.98,593.396,123,57.75,3,14,0,10,159,0.063,741.745,775.547,-145.618
12614,277,1,76,315.6,315.6,20,0.0,0,10,0,0,20,0.0,315.6,0.0,0.0
12615,2,4,1365,2093.19,523.298,81,55.33,3,10,0,0,101,0.0,523.298,97.061,-50.136999999999986
12616,85,5,269,585.25,117.05,24,150.5,0,15,0,4,34,0.118,195.083,199.974,95.25000000000001
12617,29,1,210,352.98,352.98,39,0.0,3,14,0,0,41,0.0,352.98,0.0,0.0
12618,21,1,95,137.31,137.31,10,0.0,4,11,0,0,10,0.0,137.31,0.0,0.0
12619,16,11,3337,2908.81,264.437,48,33.6,3,14,0,4,86,0.047,484.802,205.679,90.85685714285715
12620,14,3,1179,1303.41,434.47,88,95.0,4,10,0,0,91,0.0,434.47,110.359,-98.78499999999998
12621,1,23,7333,12334.07,536.264,260,44.91,3,11,0,7,456,0.015,1027.839,452.609,-48.325139860139856
12622,232,1,68,162.1,162.1,10,0.0,3,16,0,0,10,0.0,162.1,0.0,0.0
12623,276,1,189,269.1,269.1,17,0.0,1,13,0,0,17,0.0,269.1,0.0,0.0
12624,106,2,351,569.13,284.565,35,71.0,2,12,0,0,36,0.0,284.565,29.168,41.25
12625,211,3,1563,2362.32,787.44,73,103.0,0,13,0,4,88,0.045,787.44,821.644,-383.71000000000004
12626,23,13,3313,5722.35,440.181,231,65.67,3,11,0,13,298,0.044,817.479,567.76,44.190714285714286
12627,10,6,2730,4082.53,680.422,161,26.0,3,15,0,0,224,0.0,816.506,236.187,-32.29099999999999
12628,4,4,442,715.61,178.902,33,24.67,3,9,0,2,40,0.05,238.537,66.829,-59.194999999999986
12630,9,2,542,1030.88,515.44,59,34.0,3,10,0,0,62,0.0,515.44,93.833,-132.69999999999993
12631,57,1,232,480.5,480.5,30,0.0,3,13,0,0,30,0.0,480.5,0.0,0.0
12633,58,5,1136,1906.63,381.326,72,89.25,4,10,0,2,99,0.02,381.326,375.622,-184.07100000000003
12635,89,2,1162,1509.18,754.59,95,65.0,6,11,0,0,99,0.0,754.59,176.706,249.89999999999998
12637,67,9,2974,5790.25,643.361,204,63.12,0,15,0,3,382,0.008,965.042,907.415,52.611142857142895
12638,33,1,573,511.69,511.69,38,0.0,6,13,0,0,38,0.0,511.69,0.0,0.0
12639,238,1,198,366.1,366.1,21,0.0,4,12,0,0,21,0.0,366.1,0.0,0.0
12640,23,3,301,994.58,331.527,46,29.0,0,12,0,0,50,0.0,497.29,250.74,-354.6
12641,115,1,71,145.9,145.9,9,0.0,1,13,0,0,9,0.0,145.9,0.0,0.0
12642,25,3,546,905.26,301.753,38,41.0,2,9,0,0,44,0.0,301.753,40.08,-5.799999999999983
12643,128,6,1788,3041.64,506.94,10,40.8,1,12,0,0,18,0.0,760.41,246.702,83.78400000000002
12644,129,1,325,477.91,477.91,31,0.0,1,10,0,0,31,0.0,477.91,0.0,0.0
12645,33,5,1064,1611.38,322.276,57,87.25,0,12,0,1,70,0.014,322.276,196.415,-29.53600000000001
12646,4,2,897,1346.97,673.485,43,45.0,4,12,0,0,45,0.0,673.485,82.314,-116.41000000000008
12647,22,13,1387,3093.92,237.994,77,57.0,6,12,0,6,115,0.052,386.74,237.575,-57.60809523809524
12648,154,1,159,300.05,300.05,20,0.0,4,11,0,0,20,0.0,300.05,0.0,0.0
12649,107,4,571,549.71,137.428,29,121.0,2,14,0,2,31,0.065,183.237,184.012,125.155
12650,3,1,250,242.44000000000003,242.44,19,0.0,1,16,0,0,19,0.0,242.44,0.0,0.0
12651,334,1,78,114.0,114.0,9,0.0,6,12,0,0,9,0.0,114.0,0.0,0.0
12652,322,2,495,788.53,394.265,47,9.0,2,15,0,3,50,0.06,788.53,0.0,0.0
12653,148,2,919,2209.85,1104.925,37,148.0,3,10,0,0,43,0.0,1104.925,460.786,651.65
12654,10,5,260,529.98,105.996,30,71.25,3,10,0,0,34,0.0,176.66,44.719,39.81500000000001
12656,17,8,1684,3550.72,443.84,88,93.14,2,11,0,4,125,0.032,710.144,283.918,-21.705
12657,11,5,646,1008.0600000000001,201.612,34,16.75,3,11,0,8,52,0.154,336.02,262.046,-63.66000000000002
12658,18,1,317,632.05,632.05,35,0.0,0,10,0,0,35,0.0,632.05,0.0,0.0
